fid,node_id,is_zone,zone_type,is_count,station_id,Cluster_1,layer,path
64,64,0,,1,4415-1,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
65,65,0,,1,"4423",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
66,66,0,,1,"4421",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
67,67,0,,1,"4412",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
68,68,0,,1,"4411",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
69,69,0,,1,"1122",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
70,70,0,,1,100-1,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
71,71,0,,1,"1121",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
72,72,0,,1,844-1,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
73,73,0,,1,"1110",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
74,74,0,,1,"1112",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
75,75,0,,1,"1111",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
76,76,0,,1,"4409",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
77,77,0,,1,"4410",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
78,78,0,,1,"842",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
79,79,0,,1,115-1,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
80,80,0,,1,"1181",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
81,81,0,,1,"100",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
82,82,0,,1,"4406",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
83,83,0,,1,"115",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
84,84,0,,1,"4407",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
85,85,0,,1,"4408",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
86,86,0,,1,"844",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
87,87,0,,1,"310",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
88,88,0,,1,"320",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
89,89,0,,1,"118",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
90,90,0,,1,"117",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
91,91,0,,1,"111",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
92,92,0,,1,"330",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
93,93,0,,1,"1051",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
94,94,0,,1,"4404",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
95,95,0,,1,302-1,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
96,96,0,,1,"302",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
97,97,0,,1,"4016",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
98,98,0,,1,113-1,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
99,99,0,,1,"113",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
100,100,1,Internal,1,4403-4402,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
101,101,0,,1,"4401",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
102,102,0,,1,116-1,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
103,103,0,,1,"116",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
104,104,0,,0,,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
105,105,0,,1,"345",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
106,106,0,,1,"4011",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
107,107,0,,1,"346",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
108,108,0,,1,"340",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
109,109,0,,1,"339",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
110,110,0,,1,"341",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
111,111,0,,1,70-1,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
112,112,0,,1,"4001",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
113,113,0,,1,"63",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
114,114,0,,1,"347",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
115,115,0,,1,"62",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
116,116,0,,1,"70",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
117,117,0,,1,"410",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
118,118,0,,1,"4024",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
119,119,0,,1,"4023",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
120,120,0,,1,"4026",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
121,121,0,,1,"4025",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
122,122,0,,1,"451",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
123,123,0,,1,"450",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
124,124,0,,1,"4021",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
125,125,0,,1,"4022",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
126,126,0,,1,"301",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
127,127,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
128,128,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
129,129,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
130,130,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
131,131,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
132,132,1,external,1,"60",4,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
134,134,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
135,135,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
136,136,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
137,137,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
138,138,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
139,139,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
140,140,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
141,141,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
142,142,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
143,143,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
144,144,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
145,145,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
146,146,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
147,147,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
148,148,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
149,149,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
150,150,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
151,151,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
152,152,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
153,153,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
155,155,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
156,156,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
157,157,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
158,158,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
159,159,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
160,160,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
161,161,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
162,162,0,,0,,,Network_nodes_draft2_Gorbeialdea,B:/QGIS Files Gorbeialdea/Network_nodes_draft2_Gorbeialdea.gpkg|layername=cleaned
